years,GDP
2019,1650836991043.5
2020,1686267327595.3438
2021,1721697664147.1719
2022,1757128000699.0156
2023,1792558337250.8438
2024,1827988673802.6875
2025,1863419010354.5156
2026,1898849346906.3594
2027,1934279683458.1875
2028,1969710020010.0312
2029,2005140356561.8594
